ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
15;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
16;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
17;0.8;0.4;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
18;0.8;0.5;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
19;0.7000000000000001;0.3;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
20;0.7000000000000001;0.4;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
21;0.7000000000000001;0.5;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
22;0.6000000000000001;0.3;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
23;0.6000000000000001;0.4;0.3;[0.3999999999999999, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
24;0.6000000000000001;0.5;0.4000000000000001;[0.3999999999999999, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
25;0.9;0.3;0.4000000000000001;[1.0, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
26;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
27;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
28;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
29;0.8;0.4;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
30;0.8;0.5;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
31;0.7000000000000001;0.3;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
32;0.7000000000000001;0.4;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
